?a dépend(de),取决于,,,,
"dernier,-ère",最后的,,,,
des ,一些,,,,
dès,从…（时间、地点）起,,,,
descendre,下去,,,,
description,描写,,,,
désolé,抱歉的,,,,
détester,讨厌、厌恶,,,,
deux,二,,,,
deuxième,第二,,,,
devant,在…前面,,,,
devoir,应该,,,,
dialogue,对话,,,,
diapositive(diapo),幻灯片,,,,
difficile,困难的,,,,
dimanche,星期日,,,,
d?ner,晚饭,,,,
d?ner,吃后悔药晚饭,,,,
dire,说,,,,
"directeur,-trice",主任，经理,,,,
dispara?tre,失踪，消失,,,,
dix,十,,,,
dix-huit,十八,,,,
dix-neuf,十九,,,,
dix-sept,十七,,,,
donc,那么,,,,
donner,给，引起,,,,
donner sur,朝向,,,,
doucement,慢慢地，冷静一点,,,,
douche,淋浴,,,,
douze,十二,,,,
droite,右边,,,,
à droite,向右，在右边,,,,
durer,延续,,,,
école,学校,,,,
écouter,听,,,,
écrire,写,,,,
électrique,电的,,,,
élève,学生,,,,
elle,她，它,,,,
embêté,(俗）感到烦恼的,,,,
emploi,使用/用法,,,,
en,在…（指时间、地点、状态）,,,,
en,,,,,
encore,还，再，又,,,,
enfant,孩子,,,,
enregistrement,录音,,,,
ensemble,一起,,,,
ensuite,然后,,,,
entendu,说好了的，一言为定,,,,
entre,在…之间,,,,
entrer,进去,,,,
envie,渴望,,,,
avoir envie de,渴望,,,,
environ,大约,,,,
épinards,菠菜,,,,
espagnol,西班牙的,,,,
Espagnol,西班牙人,,,,
espérer,希望,,,,
essayer,试图,,,,
et,和，以及,,,,
étage,（楼房）层,,,,
étagère,（多层）架子,,,,
été,夏季,,,,
étranger,外国的,,,,
à l'étranger,在外国,,,,
être ,是,,,,
"étudiant,-e",学生,,,,
étudier,学习,,,,
"eux,elles",他们，她们，它们,,,,
exact ,准确的,,,,
excellent,极妙的,,,,
excursion,郊游，远足,,,,
excuser,原谅,,,,
s'excuser,请求原谅,,,,
exemple,例子,,,,
par exemple,例如,,,,
exercice,练习,,,,
expliquer,解释,,,,
exposition,展览会,,,,
extérieur,外部外面,,,,
à l'extérieur,在外面,,,,
facile,容易的,,,,
fa?on,方法,,,,
faim,饥饿,,,,
faire,做,,,,
falloir,应该,,,,
famille,家庭,,,,
fatigué,疲劳的,,,,
fauteuil,扶手椅,,,,
femme,妇女；妻子,,,,
fenêtre,窗,,,,
fermeture,关闭,,,,
fête,节日,,,,
fêter,庆祝,,,,
feu,火,,,,
feu d'artifice,焰火,,,,
feuille,叶子,,,,
feuille d'arbre,树叶,,,,
février,二月,,,,
fille,姑娘,,,,
fils,儿子,,,,
finir,结束,,,,
fleur,花,,,,
fleurir,开花,,,,
fois,一次,,,,
former,培养，训练,,,,
"frais,fra?che",新鲜的,,,,
fran?ais,法国的,,,,
"Fran?ais,-e",法国人,,,,
France,法国,,,,
frère,兄弟,,,,
froid,冷的,,,,
fromage,干酪,,,,
fruit,水果,,,,
galette,烧饼，煎饼,,,,
gar?on,男孩,,,,
gare,火车站,,,,
gauche,左边,,,,
à gauche,在左边,,,,
général,总的,,,,
en général,一般地,,,,
gens,人们,,,,
grand,大的,,,,
"gras,-se",肥的，丰富的,,,,
gris,灰色的,,,,
guirlande,（装饰用的）花环,,,,
gymnastique,体操,,,,
habiter,居住,,,,
habitude(d'),通常，经常,,,,
*haut-parleur,扬声器，喇叭,,,,
heure,小时；时间,,,,
à tout à l'heure,等一会儿见,,,,
de bonne heure,大清早，早,,,,
hier,昨天,,,,
hiver,冬天,,,,
homme,人，男人,,,,
h?pital,医院,,,,
h?tel,旅馆,,,,
*huit,八,,,,
ici,这里,,,,
il,他,,,,
il y a ,有,,,,
il y a ,在…以前,,,,
important,重要的,,,,
ingénieur,工程师,,,,
"inquiet,-ète",担忧的,,,,
institut,学院,,,,
intéressant,有趣的,,,,
intéresser,使…感兴趣,,,,
invité,客人,,,,
inviter,邀请,,,,
jamais,从不,,,,
janvier,一月,,,,
jardin,花园,,,,
djaunir,变黄,,,,
je,我,,,,
jeudi,星期四,,,,
jeune,年轻的,,,,
jouer,演出,,,,
jour,日了，天，白天,,,,
"journal,aux",报刊,,,,
journée,一天，白昼，日了,,,,
juillet,七月,,,,
juin,六月,,,,
jusque,直到,,,,
juste,正确地，勉强地,,,,
"la,le,les",定冠词,,,,
là,那儿，这儿,,,,
là-bas,那儿,,,,
laboratoire(labo),实验室,,,,
lac,湖,,,,
laisser,让，任凭,,,,
langue,语言,,,,
lavabo,盥洗室,,,,
laver(se),洗脸,,,,
"le,la,les",他，她（它）（们）,,,,
le?on,课，功课,,,,
légumes,蔬菜,,,,
lendemain,第二天,,,,
lentement,慢慢地，冷静一点,,,,
lettre,信,,,,
leur,他（她）们,,,,
"leur,leurs",他（她）们的,,,,
levers(se),起立，起床,,,,
libre,自由的，空闲的,,,,
linge,内衣,,,,
lire,读书,,,,
lit,床,,,,
littérature,文学,,,,
loisir,空暇；,,,,
"long,-ue",长的,,,,
longtemps,长久,,,,
lundi,星期一,,,,
lunaire,月亮的,,,,
madame,夫人，太太,,,,
mademoiselle,小姐,,,,
mai,五月,,,,
main,手,,,,
maintenant,现在,,,,
mais,但是,,,,
maision,房子；家,,,,
mal,坏，差,,,,
malheureusement,不幸地,,,,
maman,妈妈,,,,
manger,吃,,,,
mardi,星期二,,,,
marqué,突出的，明显的,,,,
marron,粟色的,,,,
mars,三月,,,,
Marseille,马赛,,,,
matin,早晨，上午,,,,
matinée,上午,,,,
me,我,,,,
médecin,医生,,,,
Méditerranée,地中海,,,,
même,同样的,,,,
même,甚至,,,,
menu,菜单,,,,
merci,谢谢,,,,
mercredi,星期三,,,,
mère,母亲,,,,
mesurer,测量,,,,
mètre   ,一米,,,,
mettre,放,,,,
meublé,配有家具的,,,,
midi,中午十二点,,,,
Midi(le),法国南方,,,,
"mignon,-ne",娇小可爱的,,,,
mince,瘦长的，细长的,,,,
minuit,午夜十二点,,,,
minute,一分钟,,,,
moi,我,,,,
moins,少些,,,,
au moins,至少,,,,
mois,月,,,,
moment,时刻,,,,
"mon,ma,mes",我的,,,,
monde,世界；人，人们,,,,
tout le monde,大家,,,,
monsieur,先生,,,,
monter,登上,,,,
montre,手表,,,,
montrer,给…看，出示,,,,
moustache,（唇上的）胡子,,,,
musique,音乐,,,,
naturellement,当然,,,,
ne,不,,,,
ne…pas,不,,,,
ne…plus,不再,,,,
ne…que,仅仅,,,,
neuf,九,,,,
ni,也不,,,,
